ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P401A_400B,P411B,P412B_CANT_1,P412B_CANT_2,P412B_UM,P412B_UMCOD,P412B_EQUI_KG,P413B_CANT_1,P413B_CANT_2,P413B_PREUNT_1,P413B_PREUNT_2,P413B_VAL,P413B_PRE_KG,P414B_ENT,P414B_DEC,P414B_PREUNT_1,P414B_PREUNT_2,P414B_VAL,P414B_PRE_KG,P415B_ENT,P415B_DEC,P415B_PREUNT_1,P415B_PREUNT_2,P415B_VAL,P415B_PRE_KG,P416B_ENT,P416B_DEC,P417B,OMICAP400_03
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00029,3,1,1,1,8.64285714285714,1,1,1, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00038,4,1,1,1,8.64285714285714,1,1,1,15,6,270,00,UNIDAD,24,.06,0,00, , , , ,270,00,0,50,135,8.3333, , , , , , ,0,00,3, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00061,6,1,1,1,8.64285714285714,1,1,1,3,2,1440,00,LITRO,14,1,440,00,3,50,1540,3.5,500,00,3,00,1500,3,500,00,3,50,1750,3.5,0,00,30, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00077,8,1,1,1,8.64285714285714,1,1,1,3,2,180,00,LITRO,14,1,0,00, , , , ,180,00,2,50,450,2.5,0,00, , , , ,0,00,5, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00087,9,1,1,1,8.64285714285714,1,1,1, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00100,10,1,1,1,8.64285714285714,1,1,1, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00101,11,1,1,1,8.64285714285714,1,1,1,3,2,240,00,LITRO,14,1,0,00, , , , ,120,00,3,00,360,3,0,00, , , , ,120,00,10, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00107,13,1,1,1,8.64285714285714,1,1,1, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00112,14,1,1,1,8.64285714285714,1,1,1, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00005,1,1,1,1,11.5454545454545,1,1,1, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00027,3,1,1,1,11.5454545454545,1,1,1, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00038,4,1,1,1,11.5454545454545,1,1,1, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00050,6,1,1,1,11.5454545454545,1,1,1, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00063,7,1,1,1,11.5454545454545,1,0,1, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00076,10,1,1,1,11.5454545454545,1,1,1,3,2,180,00,LITRO,14,1,0,00, , , , ,150,00,2,50,375,2.5,0,00, , , , ,30,00,10, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00076,10,1,1,1,11.5454545454545,1,1,1,15,6,720,00,UNIDAD,24,.06,0,00, , , , ,720,00,0,50,360,8.3333, , , , , , ,0,00,8, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00087,11,1,1,1,11.5454545454545,1,1,1,15,6,150,00,UNIDAD,24,.06,0,00, , , , ,150,00,0,50,75,8.3333, , , , , , ,0,00,2, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00100,12,1,1,1,11.5454545454545,1,1,1,1,1,2000,00,LITRO,14,1,0,00, , , , ,1000,00,2,00,2000,2,1000,00,2,00,2000,2,0,00,11, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00114,13,1,1,1,11.5454545454545,1,1,1,15,6,270,00,UNIDAD,24,.06,0,00, , , , ,270,00,0,50,135,8.3333, , , , , , ,0,00,3, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00125,14,1,1,1,11.5454545454545,1,0,1, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00011,1,1,1,1,9.76923076923077,1,1,1,3,2,900,00,LITRO,14,1,0,00, , , , ,50,00,3,00,150,3,850,00,3,00,2550,3,0,00,20, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00019,2,1,1,1,9.76923076923077,1,1,1,15,6,456,00,UNIDAD,24,.06,0,00, , , , ,456,00,0,50,228,8.3333, , , , , , ,0,00,8, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00019,2,1,1,1,9.76923076923077,1,1,1,3,2,90,00,LITRO,14,1,0,00, , , , ,90,00,3,00,270,3,0,00, , , , ,0,00,4, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00032,4,1,1,1,9.76923076923077,1,0,1,15,6,120,00,UNIDAD,24,.06,0,00, , , , ,120,00,0,75,90,12.5, , , , , , ,0,00,4, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00032,4,1,1,1,9.76923076923077,1,0,1,3,2,180,00,LITRO,14,1,0,00, , , , ,90,00,3,00,270,3,90,00,3,00,270,3,0,00,5, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00035,5,1,1,1,9.76923076923077,1,1,1,3,2,900,00,LITRO,14,1,0,00, , , , ,200,00,3,00,600,3,700,00,3,00,2100,3,0,00,20, 
