ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P102_3,P1201,P1201_EE,P1201_N,P1202_ENT,P1202_DEC,P1202_UM,P1202_COD,P1202_EQUIV_1,P1202_EQUIV_2,P1202A,P1202A_1,OMICAP1200
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00100,10,1,1,1,8.64285714285714,1, ,1,1,0,1, , ,2,500,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00101,11,1,1,1,8.64285714285714,1, ,1,1,0,2, , ,2,000,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00103,12,1,1,1,8.64285714285714,1, ,1,0,0,2, , ,2,000,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00107,13,1,1,1,8.64285714285714,1, ,1,1,0,1, , ,1,500,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00112,14,1,1,1,8.64285714285714,1, ,1,1,0,1, , ,0,250,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00005,1,1,1,1,11.5454545454545,1, ,1,1,0,1, , ,0,500,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00018,2,1,1,1,11.5454545454545,1, ,1,1,0,1, , ,2,000,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00027,3,1,1,1,11.5454545454545,1, ,1,1,0,1, , ,3,500,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00038,4,1,1,1,11.5454545454545,1, ,1,1,0,1, , ,3,000,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00050,6,1,1,1,11.5454545454545,1, ,1,1,0,2, , ,1,500,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00063,7,1,1,1,11.5454545454545,1, ,0,1,0, , ,1, , , , , , ,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00076,10,1,1,1,11.5454545454545,1, ,1,1,0,2, , ,4,500,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00087,11,1,1,1,11.5454545454545,1, ,1,1,0,2, , ,1,000,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00100,12,1,1,1,11.5454545454545,1, ,1,1,0,3, , ,11,500,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00114,13,1,1,1,11.5454545454545,1, ,1,1,0,2, , ,1,500,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00125,14,1,1,1,11.5454545454545,1, ,0,1,0, , ,1, , , , , , ,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00011,1,1,1,1,9.76923076923077,1, ,1,1,0,1, , ,2,000,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00019,2,1,1,1,9.76923076923077,1, ,1,1,0,2, , ,2,500,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00032,4,1,1,1,9.76923076923077,1, ,0,1,0, , ,1, , , , , , ,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00035,5,1,1,1,9.76923076923077,1, ,1,1,0,1, , ,0,960,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00045,6,1,1,1,9.76923076923077,1, ,1,1,0,1, , ,3,000,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00050,7,1,1,1,9.76923076923077,1, ,1,1,0,1, , ,1,000,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00060,8,1,1,1,9.76923076923077,1, ,1,1,0,4, , ,4,250,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00077,9,1,1,1,9.76923076923077,1, ,1,1,0,1, , ,0,500,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00081,10,1,1,1,9.76923076923077,1, ,1,1,0,2, , ,1,250,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00094,11,1,1,1,9.76923076923077,1, ,1,1,0,1, , ,1,000,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00101,12,1,1,1,9.76923076923077,1, ,1,1,0,1, , ,2,750,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00113,13,1,1,1,9.76923076923077,1, ,1,1,0,2, , ,0,650,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00125,14,1,1,1,9.76923076923077,1, ,1,1,0,1, , ,1,000,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00009,1,1,1,1,18,1, ,1,0,0,2, , ,0,950,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00014,2,1,1,1,18,1, ,0,1,0, , ,1, , , , , , ,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00035,3,1,1,1,18,1, ,1,1,0,2, , ,2,500,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00049,4,1,1,1,18,1, ,0,1,0, , ,1, , , , , , ,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00070,5,1,1,1,18,1, ,1,1,0,2, , ,3,500,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00100,7,1,1,1,18,1, ,1,0,0,2, , ,3,000,1, ,1,0000,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00120,9,1,1,1,18,1, ,0,1,0, , ,1, , , , , , ,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00138,10,1,1,1,18,1, ,0,1,0, , ,1, , , , , , ,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00151,11,1,1,1,18,1, ,0,1,0, , ,1, , , , , , ,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00181,12,1,1,1,18,1, ,0,1,0, , ,1, , , , , , ,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00199,13,1,1,1,18,1, ,0,1,0, , ,1, , , , , , ,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00208,14,1,1,1,18,1, ,1,1,0,1, , ,3,700,1, ,1,0000,2, , 
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00009,1,1,1,1,8.23015873015873,1, ,1,1,0,1, , ,0,250,1, ,1,0000,2, , 
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00010,2,1,1,1,8.23015873015873,1, ,1,0,0,1, , ,1,200,1, ,1,0000,2, , 
