ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P229G_N,P204_NOM_200D,P204_COD_200D,P229G_NOM,P229G_COD,P229H_CANT_ENT,P229H_CANT_DEC,P229H_UM,P229H_UM_COD,P229H_EQUIV,P229I_1_CANT_ENT,P229I_1_CANT_DEC,P229I_PREC_ENT,P229I_PREC_DEC,P229I_VAL,P229I_1_PRE_KG,P229I_2_ENT,P229I_2_DEC,P229I_3_ENT,P229I_3_DEC,OMICAP200_03
2021,20,PIURA,05,PAITA,05,LA HUACA,00088,00003,1,1,1,1,128.214285714286,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,1500,000,KILOGRAMO,12,1,1500,000,0,10,150,.1,0,000,0,000, 
2021,20,PIURA,05,PAITA,05,LA HUACA,00088,00005,2,1,1,1,128.214285714286,1,1,1,1,ARROZ CASCARA,2101,"PAJA (CEBADA, TRIGO, AVENA, ARROZ)",4128,12500,000,KILOGRAMO,12,1,0,000, , , , ,12500,000,0,000, 
2021,20,PIURA,05,PAITA,05,LA HUACA,00088,00008,3,1,1,1,128.214285714286,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,1500,000,KILOGRAMO,12,1,0,000, , , , ,1500,000,0,000, 
2021,20,PIURA,05,PAITA,05,LA HUACA,00088,00015,4,1,1,1,128.214285714286,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,1000,000,KILOGRAMO,12,1,0,000, , , , ,1000,000,0,000, 
2021,20,PIURA,05,PAITA,05,LA HUACA,00088,00032,5,1,1,1,128.214285714286,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,1500,000,KILOGRAMO,12,1,0,000, , , , ,0,000,1500,000, 
2021,20,PIURA,05,PAITA,05,LA HUACA,00088,00033,6,1,1,1,128.214285714286,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,1200,000,KILOGRAMO,12,1,0,000, , , , ,1200,000,0,000, 
2021,20,PIURA,05,PAITA,05,LA HUACA,00088,00038,7,1,1,1,128.214285714286,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,400,000,KILOGRAMO,12,1,0,000, , , , ,400,000,0,000, 
2021,20,PIURA,05,PAITA,05,LA HUACA,00088,00044,8,1,1,1,128.214285714286,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,600,000,KILOGRAMO,12,1,0,000, , , , ,600,000,0,000, 
2021,20,PIURA,05,PAITA,05,LA HUACA,00088,00055,9,1,1,1,128.214285714286,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,200,000,KILOGRAMO,12,1,0,000, , , , ,200,000,0,000, 
2021,20,PIURA,05,PAITA,05,LA HUACA,00088,00055,9,1,1,1,128.214285714286,1,1,1,2,FRIJOL DE PALO GRANO VERDE,2427,RASTROJO DE FRIJOL,4134,50,000,KILOGRAMO,12,1,0,000, , , , ,50,000,0,000, 
