ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P401A,P402A,P403A_1,P403A_2,P403A_3,P403A_4_1_ENT,P403A_4_1_DEC,P403A_4_1_VAL,P403A_4_2_ENT,P403A_4_2_VAL,P403A_5_ENT,P403A_5_DEC,P403A_5_VAL,P403A_6_ENT,P403A_6_DEC,P403A_7_ENT,P403A_8_ENT,P403A_8_DEC,P403A_9_ENT,P403A_9_DEC,P403AA_1,P403AA_2,P403AA_3,P403AA_4,P403AA_5,P403AA_6,P403AA_7,P403AA_8,P403AA_9,P403AA_10,P404A
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00188,12,1,1,1,20.9090909090909,1,0,1,15,20,5,0,0,0,00, ,0, ,5,00,150,0,00,5, , ,0,00, , , , , , , , , , ,15
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00188,12,1,1,1,20.9090909090909,1,0,1,16,10,2,0,0,0,00, ,0, ,0,00, ,0,00,7, , ,0,00, , , , , , , , , , ,5
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00002,1,1,1,1,11.9090909090909,1,1,1,3,20,8,0,0,0,00, ,5,528,2,00,300,0,00,0,0,00,4,00,1,0,0,0,0,0,0,0,0,0,17
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00002,1,1,1,1,11.9090909090909,1,1,1,14,0,6,0,0,0,00, ,0, ,2,00,20,0,00,4, , ,0,00, , , , , , , , , , ,0
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00002,1,1,1,1,11.9090909090909,1,1,1,15,8,2,0,0,0,00, ,0, ,6,00,180,0,00,0, , ,0,00, , , , , , , , , , ,4
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00002,1,1,1,1,11.9090909090909,1,1,1,16,1,1,0,0,0,00, ,0, ,0,00, ,0,00,0, , ,0,00, , , , , , , , , , ,2
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00027,3,1,1,1,11.9090909090909,1,0,1,1,10,0,0,0,0,00, ,0, ,0,00, ,0,00,3,0,00,0,00, , , , , , , , , , ,7
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00027,3,1,1,1,11.9090909090909,1,0,1,3,15,0,0,0,0,00, ,0, ,0,00, ,0,00,0,0,00,0,00, , , , , , , , , , ,15
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00028,4,1,1,1,11.9090909090909,1,1,1,1,7,2,0,0,0,00, ,2,1700,0,00, ,0,00,0,0,00,0,00,1,0,0,0,0,0,0,0,0,0,7
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00033,5,1,1,1,11.9090909090909,1,1,0,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00043,6,1,1,1,11.9090909090909,1,1,1,3,35,10,0,0,0,00, ,6,780,3,00,450,0,00,4,0,00,2,00,1,0,0,0,0,0,0,0,0,0,30
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00043,6,1,1,1,11.9090909090909,1,1,1,14,5,0,0,0,0,00, ,0, ,2,00,20,0,00,0, , ,0,00, , , , , , , , , , ,3
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00043,6,1,1,1,11.9090909090909,1,1,1,15,7,0,0,0,0,00, ,0, ,3,00,120,0,00,0, , ,0,00, , , , , , , , , , ,4
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00043,6,1,1,1,11.9090909090909,1,1,1,16,1,0,0,0,0,00, ,0, ,0,00, ,0,00,0, , ,0,00, , , , , , , , , , ,1
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00053,7,1,1,1,11.9090909090909,1,1,1,1,20,3,0,0,0,00, ,4,2000,0,00, ,0,00,2,0,00,0,00,1,0,0,0,0,0,0,0,0,0,17
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00053,7,1,1,1,11.9090909090909,1,1,1,2,20,10,0,0,0,00, ,6,864,0,00, ,0,00,14,0,00,0,00,1,0,0,0,0,0,0,0,0,0,10
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00053,7,1,1,1,11.9090909090909,1,1,1,3,16,5,0,0,0,00, ,2,240,2,00,320,0,00,7,0,00,0,00,1,0,0,0,0,0,0,0,0,0,10
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00053,7,1,1,1,11.9090909090909,1,1,1,4,9,6,0,0,1,00,150,0, ,0,00, ,0,00,6,0,00,0,00,1,0,0,0,0,0,0,0,0,0,8
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00053,7,1,1,1,11.9090909090909,1,1,1,15,26,0,0,0,0,00, ,0, ,10,00,300,0,00,6, , ,0,00, , , , , , , , , , ,10
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00053,7,1,1,1,11.9090909090909,1,1,1,16,1,2,0,0,0,00, ,0, ,0,00, ,0,00,0, , ,0,00, , , , , , , , , , ,3
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00061,8,1,1,1,11.9090909090909,1,0,1,1,16,2,0,0,0,00, ,6,6960,0,00, ,0,00,4,0,00,0,00,1,0,0,0,0,0,0,0,0,0,8
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00061,8,1,1,1,11.9090909090909,1,0,1,4,8,0,0,0,0,00, ,2,1680,0,00, ,0,00,0,0,00,0,00,1,0,0,0,0,0,0,0,0,0,6
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00084,10,1,1,1,11.9090909090909,1,0,1,1,5,5,0,0,0,00, ,0, ,0,00, ,0,00,5,0,00,0,00, , , , , , , , , , ,5
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00084,10,1,1,1,11.9090909090909,1,0,1,2,20,7,0,0,0,00, ,0, ,0,00, ,0,00,12,0,00,0,00, , , , , , , , , , ,15
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00084,10,1,1,1,11.9090909090909,1,0,1,3,200,80,0,0,0,00, ,20,7200,5,00,1275,0,00,75,0,00,0,00,1,0,0,0,0,0,0,0,0,0,180
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00093,11,1,1,1,11.9090909090909,1,0,1,3,250,50,0,0,0,00, ,30,3240,3,00,366,0,00,67,0,00,0,00,1,0,0,0,0,0,0,0,0,0,200
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00093,11,1,1,1,11.9090909090909,1,0,1,14,0,9,0,0,0,00, ,0, ,0,00, ,0,00,0, , ,0,00, , , , , , , , , , ,9
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00093,11,1,1,1,11.9090909090909,1,0,1,15,8,0,0,0,0,00, ,0, ,0,00, ,0,00,0, , ,0,00, , , , , , , , , , ,8
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00093,11,1,1,1,11.9090909090909,1,0,1,16,1,0,0,0,0,00, ,0, ,0,00, ,0,00,0, , ,0,00, , , , , , , , , , ,1
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00111,13,1,1,1,11.9090909090909,1,0,1,3,200,40,0,0,0,00, ,24,3380,2,00,510,0,00,14,0,00,0,00,1,0,0,0,0,0,0,0,0,0,200
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00111,13,1,1,1,11.9090909090909,1,0,1,4,0,0,0,2,0,00, ,0, ,0,00, ,0,00,0,0,00,0,00, , , , , , , , , , ,2
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00120,14,1,1,1,11.9090909090909,1,0,1,1,40,5,0,0,0,00, ,3,27900,0,00, ,0,00,0,0,00,2,00,1,0,0,0,0,0,0,0,0,0,40
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00120,14,1,1,1,11.9090909090909,1,0,1,3,300,80,0,0,0,00, ,40,10020,6,00,2550,0,00,20,0,00,14,00,1,0,0,0,0,0,0,0,0,0,300
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00011,1,1,1,1,8.64285714285714,1,1,1,2,13,22,0,0,0,00, ,6,864,0,00, ,0,00,10,0,00,0,00,1,0,0,0,0,0,0,0,0,0,19
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00011,1,1,1,1,8.64285714285714,1,1,1,3,400,200,0,0,0,00, ,90,12960,10,00,1440,0,00,100,0,00,0,00,1,0,0,0,0,0,0,0,0,0,400
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00020,2,1,1,1,8.64285714285714,1,1,1,2,50,20,0,0,0,00, ,30,2880,3,00,450,0,00,5,0,00,2,00,1,0,0,0,0,0,0,0,0,0,30
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00020,2,1,1,1,8.64285714285714,1,1,1,3,50,20,0,0,0,00, ,15,1800,5,00,500,0,00,20,0,00,0,00,1,0,0,0,0,0,0,0,0,0,30
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00020,2,1,1,1,8.64285714285714,1,1,1,14,10,40,0,0,0,00, ,0, ,30,00,450,0,00,5, , ,5,00, , , , , , , , , , ,10
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00020,2,1,1,1,8.64285714285714,1,1,1,15,20,10,0,0,0,00, ,0, ,10,00,200,0,00,0, , ,0,00, , , , , , , , , , ,20
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00020,2,1,1,1,8.64285714285714,1,1,1,16,2,0,0,0,0,00, ,0, ,0,00, ,0,00,0, , ,0,00, , , , , , , , , , ,2
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00029,3,1,1,1,8.64285714285714,1,1,1,3,10,20,0,0,0,00, ,5,600,2,00,240,0,00,3,0,00,0,00,1,0,0,0,0,0,0,0,0,0,20
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00029,3,1,1,1,8.64285714285714,1,1,1,4,10,6,0,0,0,00, ,4,1600,2,00,500,0,00,5,0,00,0,00,1,0,0,0,0,0,0,0,0,0,5
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00038,4,1,1,1,8.64285714285714,1,1,1,3,10,5,0,0,0,00, ,0, ,0,00, ,0,00,10,0,00,0,00, , , , , , , , , , ,5
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00038,4,1,1,1,8.64285714285714,1,1,1,14,5,20,0,0,0,00, ,0, ,5,00,50,0,00,20, , ,0,00, , , , , , , , , , ,0
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00038,4,1,1,1,8.64285714285714,1,1,1,15,3,2,0,0,0,00, ,0, ,2,00,60,0,00,0, , ,0,00, , , , , , , , , , ,3
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00038,4,1,1,1,8.64285714285714,1,1,1,16,1,0,0,0,0,00, ,0, ,0,00, ,0,00,0, , ,0,00, , , , , , , , , , ,1
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00052,5,1,1,1,8.64285714285714,1,1,1,4,36,20,0,0,0,00, ,20,3150,3,00,600,0,00,15,0,00,5,00,1,0,0,0,0,0,0,0,0,0,13
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00061,6,1,1,1,8.64285714285714,1,1,1,1,15,4,0,0,0,00, ,4,4800,0,00, ,0,00,5,0,00,0,00,1,0,0,0,0,0,0,0,0,0,10
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00061,6,1,1,1,8.64285714285714,1,1,1,2,20,5,0,0,0,00, ,5,600,0,00, ,0,00,0,0,00,0,00,1,0,0,0,0,0,0,0,0,0,20
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00061,6,1,1,1,8.64285714285714,1,1,1,3,250,60,0,0,0,00, ,35,5040,5,00,600,0,00,20,0,00,0,00,1,0,0,0,0,0,0,0,0,0,250
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00065,7,1,1,1,8.64285714285714,1,1,0,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00077,8,1,1,1,8.64285714285714,1,1,1,1,3,2,0,0,0,00, ,0, ,0,00, ,0,00,2,0,00,0,00, , , , , , , , , , ,3
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00077,8,1,1,1,8.64285714285714,1,1,1,3,12,7,0,0,0,00, ,9,1620,1,00,160,0,00,1,0,00,0,00,1,0,0,0,0,0,0,0,0,0,8
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00077,8,1,1,1,8.64285714285714,1,1,1,4,1,1,0,0,0,00, ,0, ,0,00, ,0,00,0,0,00,0,00, , , , , , , , , , ,2
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00087,9,1,1,1,8.64285714285714,1,1,1,1,10,2,0,0,0,00, ,0, ,0,00, ,0,00,2,0,00,0,00, , , , , , , , , , ,10
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00087,9,1,1,1,8.64285714285714,1,1,1,4,12,5,0,0,0,00, ,6,1800,1,00,300,0,00,0,0,00,2,00,1,0,0,0,0,0,0,0,0,0,8
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00100,10,1,1,1,8.64285714285714,1,1,1,3,0,2,2,0,0,00, ,0, ,0,00, ,0,00,0,0,00,0,00, , , , , , , , , , ,4
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00101,11,1,1,1,8.64285714285714,1,1,1,3,40,40,0,0,0,00, ,10,1200,5,00,600,0,00,30,0,00,5,00,1,0,0,0,0,0,0,0,0,0,30
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00103,12,1,1,1,8.64285714285714,1,1,0,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00107,13,1,1,1,8.64285714285714,1,1,1,3,15,10,0,0,0,00, ,0, ,0,00, ,0,00,0,0,00,0,00, , , , , , , , , , ,25
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00107,13,1,1,1,8.64285714285714,1,1,1,4,10,2,0,0,0,00, ,0, ,0,00, ,0,00,0,0,00,0,00, , , , , , , , , , ,12
