ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P102_3,P1203,P1205,P1205_NOM,P1205_COD,P1205_TIPO,P1206_SUP_1,P1206_SUP_2,OMICAP1200_02
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00043,6,1,1,1,11.9090909090909,1, ,1,1,0,1,4,PAPAYA,1163,2,0,018, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00053,7,1,1,1,11.9090909090909,1, ,1,1,0,1,1,PASTO SUDAN,1466,3,0,100, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00053,7,1,1,1,11.9090909090909,1, ,1,1,0,1,2,PASTO ELEFANTE,1424,3,0,100, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00011,1,1,1,1,8.64285714285714,1, ,1,1,0,1,1,YUCA,2620,1,0,487, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00011,1,1,1,1,8.64285714285714,1, ,1,1,0,1,2,MAIZ CHOCLO,2109,1,0,700, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00011,1,1,1,1,8.64285714285714,1, ,1,1,0,1,3,MANGO,1147,2,0,008, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00011,1,1,1,1,8.64285714285714,1, ,1,1,0,1,4,COCOTERO,1128,2,0,005, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00011,1,1,1,1,8.64285714285714,1, ,1,1,0,1,5,NARANJO,1156,2,0,050, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00020,2,1,1,1,8.64285714285714,1, ,1,1,0,1,1,YUCA,2620,1,1,400, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00029,3,1,1,1,8.64285714285714,1, ,1,1,0,1,1,YUCA,2620,1,1,785, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00029,3,1,1,1,8.64285714285714,1, ,1,1,0,1,2,NARANJO,1156,2,0,030, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00029,3,1,1,1,8.64285714285714,1, ,1,1,0,1,3,LIMON ACIDO,1140,3,0,100, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00038,4,1,1,1,8.64285714285714,1, ,1,1,0,1,1,YUCA,2620,1,1,450, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00038,4,1,1,1,8.64285714285714,1, ,1,1,0,1,2,LIMON ACIDO,1140,3,0,400, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00038,4,1,1,1,8.64285714285714,1, ,1,1,0,1,3,MANGO,1147,2,0,060, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00038,4,1,1,1,8.64285714285714,1, ,1,1,0,1,4,PALTO,1162,2,0,040, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00038,4,1,1,1,8.64285714285714,1, ,1,1,0,1,5,NARANJO,1156,2,0,030, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00052,5,1,1,1,8.64285714285714,1, ,1,1,0,1,1,YUCA,2620,1,1,900, 
