ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P401A_400C,P411B_400C,P419_N,P419_NOM,P419_COD,P420_CANT_ENT,P420_CANT_DEC,P420_UM,P420_UM_COD,P420_EQUIV,P421_1_CANT_ENT,P421_1_CANT_DEC,P421_1_PREC_ENT,P421_1_PREC_DEC,P421_1_VAL,P421_1_PRE_KG,P421_2_CANT_ENT,P421_2_CANT_DEC,P421_3_CANT_ENT,P421_3_CANT_DEC,OMICAP400_04
2021,20,PIURA,06,SULLANA,04,LANCONES,00161,00051,6,1,1,1,128.214285714286,1,1,1,3,3,1,QUESO,4208,20,00,KILOGRAMO,12,1,10,00,16,00,160,16,10,00,0,00, 
2021,20,PIURA,06,SULLANA,04,LANCONES,00161,00055,7,1,1,1,128.214285714286,1,1,1,3,3,1,QUESO,4208,555,00,KILOGRAMO,12,1,500,00,20,00,10000,20,55,00,0,00, 
2021,20,PIURA,06,SULLANA,04,LANCONES,00161,00074,9,1,1,1,128.214285714286,1,1,1,3,3,1,QUESO,4208,777,80,KILOGRAMO,12,1,770,00,20,00,15400,20,7,80,0,00, 
2021,20,PIURA,06,SULLANA,04,LANCONES,00161,00082,10,1,1,1,128.214285714286,1,1,1,3,3,1,QUESO,4208,1111,10,KILOGRAMO,12,1,1000,00,20,00,20000,20,111,10,0,00, 
2021,20,PIURA,06,SULLANA,01,SULLANA,00237,00059,4,1,1,1,138.076923076923,1,1,1,1,1,1,QUESO,4208,15,00,KILOGRAMO,12,1,0,00, , , , ,15,00,0,00, 
2021,20,PIURA,02,AYABACA,10,SUYO,00258,00097,13,1,1,1,138.076923076923,1,1,1,1,1,1,QUESO,4208,10,80,KILOGRAMO,12,1,0,00, , , , ,10,80,0,00, 
2021,20,PIURA,02,AYABACA,10,SUYO,00259,00010,1,1,1,1,128.214285714286,1,1,1,3,3,1,QUESO,4208,70,00,KILOGRAMO,12,1,55,00,18,00,990,18,15,00,0,00, 
2021,20,PIURA,02,AYABACA,10,SUYO,00259,00064,7,1,1,1,128.214285714286,1,1,1,3,3,1,QUESO,4208,20,00,KILOGRAMO,12,1,0,00, , , , ,20,00,0,00, 
2021,20,PIURA,02,AYABACA,10,SUYO,00259,00103,12,1,1,1,128.214285714286,1,1,1,3,3,1,QUESO,4208,63,00,KILOGRAMO,12,1,30,00,15,00,450,15,33,00,0,00, 
2021,20,PIURA,02,AYABACA,10,SUYO,00259,00120,14,1,1,1,128.214285714286,1,1,1,3,3,1,QUESO,4208,45,00,KILOGRAMO,12,1,10,00,10,00,100,10,35,00,0,00, 
2021,20,PIURA,02,AYABACA,09,SICCHEZ,00284,00128,10,1,1,1,128.214285714286,1,1,1,1,1,1,QUESO,4208,9,00,KILOGRAMO,12,1,0,00, , , , ,6,00,3,00, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00286,00009,1,1,2,4,74.6071428571429,1,1,1,1,1,1,QUESO,4208,40,00,KILOGRAMO,12,1,40,00,15,00,600,15,0,00,0,00, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00286,00037,3,1,2,4,74.6071428571429,1,1,1,1,1,1,QUESO,4208,80,00,UNIDAD,24,1,0,00, , , , ,80,00,0,00, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00286,00057,5,1,2,4,74.6071428571429,1,1,1,1,1,1,QUESO,4208,100,00,UNIDAD,24,1,80,00,15,00,1200,15,20,00,0,00, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00286,00073,6,1,2,4,74.6071428571429,1,1,1,1,1,1,QUESO,4208,50,00,KILOGRAMO,12,1,0,00, , , , ,50,00,0,00, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00286,00076,7,1,2,4,74.6071428571429,1,1,1,1,1,1,QUESO,4208,200,00,UNIDAD,24,1,100,00,15,00,1500,15,100,00,0,00, 
